                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0719,                 7.3182,                  4.161,                0.00011,                0.01429,                  6e-05,                  2e-05,                 5.1879,                 7.0658,                 4.1543,             0.00016665,             0.00016665,             0.00016665
                      2,                 4.4253,                 5.6356,                  3.767,                0.00011,                0.01429,                  6e-05,                  1e-05,                 5.1876,                 6.6704,                 4.1524,             0.00034407,             0.00034407,             0.00034407
                      3,                  3.755,                 4.4256,                 3.4856,                0.00012,                0.01429,                  7e-05,                  1e-05,                 5.2107,                 5.1735,                 4.1877,             0.00052114,             0.00052114,             0.00052114
                      4,                 3.1289,                 3.7874,                 3.0586,                0.00012,                0.01429,                  7e-05,                  2e-05,                 5.2301,                 5.3623,                 4.2286,             0.00069785,             0.00069785,             0.00069785
                      5,                 3.1774,                 3.8472,                 2.9032,                0.00011,                0.01429,                  7e-05,                  1e-05,                 5.1533,                 5.1612,                 4.1227,             0.00087421,             0.00087421,             0.00087421
                      6,                 2.9778,                 3.5963,                 2.7709,                0.00012,                0.01429,                  7e-05,                  1e-05,                 4.8665,                   4.92,                 3.7987,              0.0010502,              0.0010502,              0.0010502
                      7,                 2.7106,                 3.2736,                 2.4827,                0.00011,                0.01429,                  9e-05,                  3e-05,                 4.4825,                 4.9873,                 3.6425,              0.0011044,              0.0011044,              0.0011044
                      8,                  2.684,                 2.9608,                 2.4067,                0.00209,                0.10718,                0.00374,                0.00126,                 3.6256,                 4.1583,                 3.1675,              0.0011033,              0.0011033,              0.0011033
                      9,                 2.5085,                 2.7713,                 2.2926,                0.49565,                0.06015,                0.03241,                 0.0114,                 2.9703,                 3.5494,                 2.7419,              0.0011022,              0.0011022,              0.0011022
                     10,                 2.2578,                  2.647,                 2.1405,                0.68701,                0.16692,                0.13569,                0.05726,                 2.5927,                 2.5542,                 2.4532,              0.0011011,              0.0011011,              0.0011011
                     11,                 2.3199,                 2.5069,                 2.1627,                0.78964,                0.16617,                0.15347,                0.05167,                 2.7116,                 2.4374,                 2.4498,                 0.0011,                 0.0011,                 0.0011
                     12,                 2.2368,                 2.3226,                 2.0593,                0.74284,                0.15041,                0.16852,                0.07731,                 2.1753,                 2.7358,                 2.1565,              0.0010989,              0.0010989,              0.0010989
                     13,                 2.1009,                 2.2249,                 1.9113,                 0.7798,                0.19155,                 0.2392,                 0.0995,                 2.2319,                 3.9106,                 1.9576,              0.0010978,              0.0010978,              0.0010978
                     14,                 2.0922,                 2.1897,                 1.8665,                0.56248,                0.24812,                0.23457,                 0.1092,                 1.8955,                 2.3544,                 1.8245,              0.0010967,              0.0010967,              0.0010967
                     15,                 2.1055,                 2.2366,                 1.9107,                0.33863,                0.27598,                0.17268,                0.07683,                 2.1357,                 2.4085,                 1.9237,              0.0010956,              0.0010956,              0.0010956
                     16,                 2.1126,                 2.1476,                 1.8823,                0.38648,                0.40969,                0.29626,                0.11945,                 2.0475,                  2.104,                 1.9457,              0.0010945,              0.0010945,              0.0010945
                     17,                 2.0239,                 2.1045,                 1.8291,                0.55897,                0.37591,                0.35518,                0.15507,                 1.8408,                 2.2232,                 1.7628,              0.0010934,              0.0010934,              0.0010934
                     18,                 2.0622,                  1.964,                  1.823,                0.51682,                0.46904,                0.43021,                0.19552,                  1.927,                 2.0544,                 1.7702,              0.0010923,              0.0010923,              0.0010923
                     19,                 1.8891,                 1.8813,                 1.7149,                0.60455,                0.47612,                0.46195,                0.23177,                 1.7894,                 1.7732,                 1.7625,              0.0010912,              0.0010912,              0.0010912
                     20,                  1.885,                 1.8828,                 1.6674,                0.56546,                0.43956,                0.42252,                0.19903,                 1.5431,                 1.8961,                 1.6462,              0.0010901,              0.0010901,              0.0010901
                     21,                 1.8475,                  1.856,                 1.6504,                0.50854,                0.55267,                0.50172,                0.23606,                 1.6459,                 1.7496,                 1.6649,               0.001089,               0.001089,               0.001089
                     22,                 1.8241,                 1.7124,                 1.5693,                0.65151,                0.52943,                0.55828,                0.23479,                  1.806,                 1.6744,                 1.7132,              0.0010879,              0.0010879,              0.0010879
                     23,                 1.7518,                 1.6274,                  1.604,                0.57963,                0.48844,                0.52194,                0.24684,                 1.8091,                 1.6243,                 1.7515,              0.0010868,              0.0010868,              0.0010868
                     24,                 1.7439,                 1.6639,                 1.6206,                0.73118,                0.56957,                0.61573,                0.32043,                 1.7631,                 1.4045,                 1.5914,              0.0010857,              0.0010857,              0.0010857
                     25,                 1.7333,                 1.6157,                 1.5541,                0.76027,                0.60151,                0.63302,                 0.3337,                 1.7864,                 1.4289,                 1.5579,              0.0010846,              0.0010846,              0.0010846
                     26,                 1.7721,                 1.6076,                 1.5331,                0.52747,                0.59031,                 0.5983,                0.28595,                 1.8933,                 1.5969,                 1.6672,              0.0010835,              0.0010835,              0.0010835
                     27,                 1.7704,                 1.6028,                  1.555,                0.74389,                0.48419,                0.61716,                0.32536,                 1.5509,                 1.7437,                 1.5135,              0.0010824,              0.0010824,              0.0010824
                     28,                 1.6311,                 1.5307,                 1.4658,                0.74981,                0.54134,                0.67597,                 0.3491,                 1.5949,                 1.4821,                 1.4783,              0.0010813,              0.0010813,              0.0010813
                     29,                 1.6652,                 1.4983,                 1.4804,                0.85655,                0.57654,                0.70216,                 0.3693,                 1.6091,                 1.3577,                 1.4547,              0.0010802,              0.0010802,              0.0010802
                     30,                  1.659,                 1.3983,                 1.4579,                0.80232,                0.56935,                0.68533,                0.35057,                 1.6003,                 1.4824,                 1.4278,              0.0010791,              0.0010791,              0.0010791
                     31,                 1.5503,                 1.3873,                 1.4186,                0.73259,                0.61874,                0.69646,                0.38306,                 1.6409,                 1.5087,                 1.4453,               0.001078,               0.001078,               0.001078
                     32,                 1.5573,                 1.3364,                 1.3586,                0.68043,                0.64612,                0.70584,                0.33123,                 1.8631,                 1.4043,                 1.5608,              0.0010769,              0.0010769,              0.0010769
                     33,                 1.5584,                 1.3407,                 1.4042,                0.47946,                0.53008,                0.54921,                0.24995,                 1.7346,                 2.0411,                 1.5053,              0.0010758,              0.0010758,              0.0010758
                     34,                 1.5427,                 1.3016,                 1.4025,                0.62581,                0.63835,                0.73498,                0.37864,                 1.6236,                 1.3814,                 1.4506,              0.0010747,              0.0010747,              0.0010747
