                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0496,                 6.8592,                 4.2051,                0.00011,                0.01429,                  6e-05,                  2e-05,                 4.5634,                 6.3032,                 4.1604,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 5.0794,                  6.751,                 4.1928,                0.00011,                0.01429,                  7e-05,                  1e-05,                 4.5608,                 6.2965,                 4.1586,             0.00014436,             0.00014436,             0.00014436
                      3,                 4.8355,                  5.951,                 4.0249,                0.00011,                0.01429,                  7e-05,                  1e-05,                 4.5558,                  6.053,                 4.1529,             0.00022198,             0.00022198,             0.00022198
                      4,                 4.0435,                 5.0838,                 3.6848,                0.00011,                0.01429,                  6e-05,                  1e-05,                 4.5537,                 5.9676,                  4.153,             0.00029952,             0.00029952,             0.00029952
                      5,                 3.4896,                 4.1155,                  3.502,                0.00012,                0.01429,                  7e-05,                  2e-05,                 4.5818,                 4.9646,                 4.1665,             0.00037699,             0.00037699,             0.00037699
                      6,                 3.3394,                 3.8068,                 3.1921,                0.00011,                0.01429,                  7e-05,                  1e-05,                 4.6166,                 5.1021,                 4.2093,             0.00045438,             0.00045438,             0.00045438
                      7,                 2.9436,                 3.3115,                 2.8234,                0.00012,                0.01429,                  8e-05,                  2e-05,                  4.579,                 4.9382,                 4.1956,              0.0005317,              0.0005317,              0.0005317
                      8,                  2.754,                 3.1321,                 2.6225,                0.00011,                0.01429,                  7e-05,                  2e-05,                 4.4924,                 4.9948,                 4.1212,             0.00060893,             0.00060893,             0.00060893
                      9,                 2.5965,                 3.0082,                  2.375,                0.00015,                0.01429,                  9e-05,                  2e-05,                 4.4248,                 4.9525,                 4.0829,             0.00068609,             0.00068609,             0.00068609
                     10,                 2.4707,                  2.766,                 2.3099,                0.00015,                0.01429,                  9e-05,                  2e-05,                 4.5121,                 4.9306,                 4.1423,             0.00076317,             0.00076317,             0.00076317
                     11,                 2.3815,                 2.5684,                 2.2872,                0.00015,                0.01429,                  9e-05,                  2e-05,                 4.2089,                 4.8165,                 3.8537,             0.00084018,             0.00084018,             0.00084018
                     12,                 2.2342,                 2.4734,                 2.1274,                0.00015,                0.01429,                  9e-05,                  2e-05,                 4.4531,                 4.7653,                 4.0174,             0.00091711,             0.00091711,             0.00091711
                     13,                 2.2351,                 2.4095,                 2.0687,                0.00015,                0.01429,                  9e-05,                  2e-05,                 4.3163,                 4.9743,                 3.9005,             0.00099396,             0.00099396,             0.00099396
                     14,                 2.1704,                 2.3177,                 2.0334,                0.00015,                0.01429,                  9e-05,                  2e-05,                 4.0466,                 5.3851,                  3.832,              0.0010707,              0.0010707,              0.0010707
                     15,                 2.2297,                 2.2817,                 1.9828,                0.00015,                0.01429,                  9e-05,                  2e-05,                 4.1576,                 5.8048,                 3.9063,              0.0011033,              0.0011033,              0.0011033
                     16,                 2.1565,                 2.2399,                 1.9836,                0.00015,                0.01429,                  9e-05,                  2e-05,                 3.9484,                 4.9036,                 3.7529,              0.0011028,              0.0011028,              0.0011028
                     17,                 2.0207,                 2.0993,                 1.8624,                0.00015,                0.01429,                  9e-05,                  2e-05,                 4.0361,                 4.7734,                 3.7605,              0.0011022,              0.0011022,              0.0011022
                     18,                 1.8926,                 1.9762,                 1.7664,                0.00015,                0.01429,                  9e-05,                  2e-05,                 4.1935,                  4.662,                 3.7865,              0.0011017,              0.0011017,              0.0011017
