                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.074,                 7.7597,                 4.2271,                0.00012,                0.01429,                  7e-05,                  1e-05,                 5.1923,                 5.9122,                  4.162,             0.00016665,             0.00016665,             0.00016665
                      2,                 5.1693,                 7.0072,                 4.1624,                0.00012,                0.01429,                  7e-05,                  1e-05,                 5.1796,                 5.8784,                 4.1542,             0.00034407,             0.00034407,             0.00034407
                      3,                 4.5372,                 5.9616,                 3.9393,                0.00011,                0.01429,                  6e-05,                  1e-05,                 5.1851,                 5.0671,                 4.1654,             0.00052114,             0.00052114,             0.00052114
                      4,                 3.6184,                 4.5453,                 3.5858,                0.00011,                0.01429,                  7e-05,                  1e-05,                 5.2335,                  4.757,                 4.2272,             0.00069785,             0.00069785,             0.00069785
                      5,                 3.2006,                 4.3801,                 3.1315,                0.00011,                0.01429,                  6e-05,                  1e-05,                  5.292,                 4.9419,                  4.299,             0.00087421,             0.00087421,             0.00087421
                      6,                 2.9469,                 4.0664,                 2.8478,                0.00011,                0.01429,                  7e-05,                  1e-05,                 4.8424,                 5.0144,                  3.854,              0.0010502,              0.0010502,              0.0010502
                      7,                 2.7734,                 3.8186,                  2.569,                0.00011,                0.01429,                0.00013,                  4e-05,                 5.2051,                 5.2554,                 4.1587,              0.0011044,              0.0011044,              0.0011044
                      8,                 2.7871,                 3.6265,                 2.5351,                0.00012,                0.01429,                  7e-05,                  1e-05,                  5.007,                 4.6279,                   4.08,              0.0011033,              0.0011033,              0.0011033
                      9,                 2.5865,                 3.5825,                 2.4006,                0.00137,                0.17485,                0.01202,                0.00428,                  3.842,                 3.8058,                 3.2701,              0.0011022,              0.0011022,              0.0011022
                     10,                  2.467,                 3.3083,                 2.2734,                 0.7173,                0.04586,                0.09533,                0.03632,                 2.6322,                 2.6925,                 2.5412,              0.0011011,              0.0011011,              0.0011011
                     11,                 2.4968,                 3.1372,                 2.2387,                0.68591,                0.16617,                0.09935,                 0.0485,                 2.6543,                 2.4278,                 2.2918,                 0.0011,                 0.0011,                 0.0011
                     12,                 2.3485,                 2.8901,                 2.1461,                0.79243,                0.16992,                0.17456,                0.07085,                 2.3635,                 2.2437,                 2.1493,              0.0010989,              0.0010989,              0.0010989
                     13,                 2.3298,                 2.8846,                 2.0354,                0.78042,                 0.2188,                0.23395,                0.09893,                 2.2343,                 2.1243,                 2.0371,              0.0010978,              0.0010978,              0.0010978
                     14,                 2.2666,                 2.7894,                 1.9505,                0.73454,                0.20526,                0.23184,                 0.0982,                 2.1588,                 2.1951,                   2.01,              0.0010967,              0.0010967,              0.0010967
                     15,                 2.2489,                 2.7901,                 1.9881,                0.54273,                0.39708,                0.30715,                0.12794,                 2.0998,                 2.1786,                 1.8937,              0.0010956,              0.0010956,              0.0010956
                     16,                 2.1909,                 2.6008,                 1.9096,                0.49921,                0.38627,                0.33556,                 0.1423,                  2.059,                 2.0265,                 1.8461,              0.0010945,              0.0010945,              0.0010945
                     17,                 2.1503,                 2.5483,                 1.8499,                0.30956,                0.43999,                0.35706,                0.13871,                  2.025,                 2.0178,                 1.8181,              0.0010934,              0.0010934,              0.0010934
                     18,                 2.0896,                 2.3956,                 1.8436,                0.35472,                0.37732,                0.33918,                0.15494,                 1.9996,                 1.8178,                  1.784,              0.0010923,              0.0010923,              0.0010923
                     19,                 1.9636,                 2.2909,                 1.7861,                0.43456,                0.46259,                 0.3915,                0.18067,                 2.1025,                 2.0386,                 1.8071,              0.0010912,              0.0010912,              0.0010912
                     20,                 2.0062,                 2.3092,                 1.7336,                 0.5058,                0.39271,                0.43962,                0.20362,                 1.9543,                 1.9211,                 1.7561,              0.0010901,              0.0010901,              0.0010901
                     21,                 2.0216,                 2.2709,                 1.7996,                 0.4188,                0.44449,                0.45476,                0.21151,                 2.1276,                 1.9101,                 1.7905,               0.001089,               0.001089,               0.001089
