                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0777,                 7.0528,                  4.221,                0.00011,                0.01429,                  6e-05,                  1e-05,                 5.1849,                 7.0111,                 4.1579,             0.00016665,             0.00016665,             0.00016665
                      2,                 4.8469,                 6.3053,                 4.0758,                0.00011,                0.01429,                  6e-05,                  2e-05,                 5.1669,                 6.6792,                 4.1467,             0.00034407,             0.00034407,             0.00034407
                      3,                 3.7584,                 4.8283,                 3.8365,                0.00011,                0.01429,                  6e-05,                  2e-05,                 5.1676,                 5.1071,                 4.1485,             0.00052114,             0.00052114,             0.00052114
                      4,                 3.1526,                 3.8165,                 3.2938,                0.00011,                0.01429,                  6e-05,                  1e-05,                  5.163,                 5.0314,                 4.1604,             0.00069785,             0.00069785,             0.00069785
                      5,                 3.1772,                 3.8766,                 3.1481,                0.00011,                0.01429,                  7e-05,                  2e-05,                 5.1226,                 5.2499,                 4.1414,             0.00087421,             0.00087421,             0.00087421
                      6,                 2.9564,                 3.5195,                 2.9372,                0.00012,                0.01429,                  7e-05,                  1e-05,                 5.3457,                 5.3375,                 4.4824,              0.0010502,              0.0010502,              0.0010502
                      7,                 2.6977,                 3.3068,                 2.6081,                0.00012,                0.01429,                  7e-05,                  1e-05,                 5.1963,                 5.4257,                  4.218,              0.0011044,              0.0011044,              0.0011044
                      8,                 2.6695,                 3.1745,                 2.5099,                0.00012,                0.01429,                  7e-05,                  1e-05,                  4.447,                 5.0553,                 3.7005,              0.0011033,              0.0011033,              0.0011033
                      9,                 2.5292,                 3.0342,                 2.4154,                0.43303,                0.03534,                0.01099,                 0.0041,                 3.3515,                 3.7852,                 3.0734,              0.0011022,              0.0011022,              0.0011022
                     10,                 2.4053,                 2.8055,                 2.2517,                0.49731,                 0.0929,                0.05926,                0.02281,                 2.7997,                 2.8749,                 2.6833,              0.0011011,              0.0011011,              0.0011011
                     11,                  2.359,                 2.6324,                 2.1937,                0.61234,                0.19192,                0.15511,                0.06205,                 2.8506,                 2.4686,                 2.4163,                 0.0011,                 0.0011,                 0.0011
                     12,                 2.2807,                 2.4731,                 2.1102,                0.65987,                0.24219,                 0.2395,                0.10241,                 2.4352,                 2.2223,                 2.1844,              0.0010989,              0.0010989,              0.0010989
                     13,                 2.2679,                 2.4162,                 1.9733,                0.69108,                0.22153,                0.24641,                0.09664,                 2.2787,                 2.4471,                  1.982,              0.0010978,              0.0010978,              0.0010978
                     14,                 2.2433,                 2.3745,                 1.9405,                0.52043,                 0.2132,                0.32181,                0.12525,                 2.1157,                 2.3566,                 1.9399,              0.0010967,              0.0010967,              0.0010967
                     15,                 2.1759,                 2.4514,                 1.9632,                 0.3862,                0.33079,                0.40507,                 0.1845,                  2.088,                 2.2059,                 1.9495,              0.0010956,              0.0010956,              0.0010956
                     16,                 2.1096,                  2.254,                 1.8859,                0.39421,                0.42242,                 0.3789,                0.16702,                 2.0324,                 2.0279,                 1.8504,              0.0010945,              0.0010945,              0.0010945
                     17,                 2.0252,                  2.212,                 1.8572,                0.33972,                0.36372,                0.36754,                0.17025,                 1.9787,                 2.0454,                 1.8188,              0.0010934,              0.0010934,              0.0010934
                     18,                 1.9664,                 2.0316,                 1.8075,                0.40127,                0.37977,                0.36099,                0.17691,                 1.9911,                 2.2604,                  1.811,              0.0010923,              0.0010923,              0.0010923
                     19,                 1.9529,                 2.0021,                 1.7499,                0.72435,                0.24807,                0.40101,                0.17681,                 2.0449,                 2.2872,                 1.8409,              0.0010912,              0.0010912,              0.0010912
                     20,                  1.922,                 1.9857,                 1.6866,                0.53751,                0.48723,                 0.5013,                0.22178,                 1.9507,                 1.8281,                  1.737,              0.0010901,              0.0010901,              0.0010901
