                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.041,                 7.4062,                 4.2092,                 4.9423,                 25.483,                 4.2689,                      0,                      0,                      0,                      0,                 5.1948,                 7.3392,                 4.1587,                 3.6372,                 20.632,                 3.0635,             0.00016665,             0.00016665,             0.00016665
                      2,                 5.0895,                 7.1288,                 4.1714,                 4.9144,                  22.27,                 4.2642,                  2e-05,                0.01429,                  2e-05,                      0,                 5.1897,                 7.3151,                 4.1504,                 3.6344,                 20.568,                 3.0583,             0.00034407,             0.00034407,             0.00034407
                      3,                 4.4683,                 6.5585,                 3.9232,                 4.5149,                 17.272,                 4.0371,                  2e-05,                0.01429,                  1e-05,                      0,                 5.2108,                 7.3393,                 4.1616,                 3.6225,                 20.542,                 3.0454,             0.00052114,             0.00052114,             0.00052114
                      4,                 3.7394,                 5.8272,                  3.536,                 3.5192,                 11.517,                 3.6902,                  2e-05,                0.01429,                  1e-05,                      0,                  5.387,                 7.7013,                 4.3667,                 3.5834,                 20.716,                 3.0298,             0.00069785,             0.00069785,             0.00069785
                      5,                 3.6237,                 5.3013,                   3.15,                 3.3076,                 9.5707,                  3.162,                  2e-05,                0.01429,                  2e-05,                      0,                 5.4078,                 7.6938,                 4.4096,                 3.5625,                 20.303,                 3.0237,             0.00087421,             0.00087421,             0.00087421
                      6,                 3.3663,                 4.7733,                 2.9543,                  3.245,                 8.4031,                 2.7951,                  6e-05,                0.01429,                  3e-05,                      0,                 5.4647,                 7.6478,                 4.5781,                 3.5218,                 19.613,                 3.0496,              0.0010502,              0.0010502,              0.0010502
                      7,                 3.0159,                 4.3983,                 2.6283,                 2.8206,                  7.291,                  2.467,                  6e-05,                0.01429,                  3e-05,                      0,                 4.9048,                 6.6026,                 3.9147,                 3.7593,                 17.459,                 3.1735,              0.0011044,              0.0011044,              0.0011044
                      8,                 3.0041,                 4.0309,                  2.582,                 2.8673,                 6.7221,                 2.4499,                  6e-05,                0.01429,                  3e-05,                      0,                 4.1936,                 5.8993,                 3.4663,                 3.8086,                 16.567,                 3.1709,              0.0011044,              0.0011044,              0.0011044
                      9,                 2.8584,                 3.7907,                 2.4745,                 2.7235,                 6.3815,                 2.4358,                0.00065,                0.04962,                 0.0019,                0.00036,                 3.8457,                 5.6609,                 3.2452,                  3.621,                 16.006,                 3.0553,              0.0011033,              0.0011033,              0.0011033
                     10,                 2.5983,                  3.437,                 2.3005,                 2.5754,                 5.7541,                 2.1946,                0.00256,                0.13835,                0.02178,                0.01051,                 3.2883,                 5.0932,                 2.8482,                 3.3876,                 10.891,                 2.9378,              0.0011022,              0.0011022,              0.0011022
                     11,                 2.5023,                 3.2024,                 2.1822,                 2.4442,                 5.2256,                 2.0519,                0.64758,                 0.0548,                0.03833,                0.01894,                 2.4858,                 3.6516,                 2.3058,                 2.2165,                 6.5301,                 2.2558,              0.0011011,              0.0011011,              0.0011011
                     12,                 2.4032,                 2.9889,                  2.101,                 2.4423,                 4.8811,                 1.9665,                0.67594,                0.06015,                0.06229,                0.02525,                 2.5008,                 3.4738,                 2.1186,                 2.3531,                 5.9358,                 2.0504,                 0.0011,                 0.0011,                 0.0011
                     13,                 2.3676,                 2.8786,                 1.9681,                 2.4688,                 4.6999,                 1.8105,                0.26358,                0.13459,                0.05187,                0.02033,                 2.5714,                 3.4352,                 2.0673,                  2.508,                 5.7044,                 1.9328,              0.0010989,              0.0010989,              0.0010989
                     14,                 2.2778,                 2.7826,                 1.9042,                 2.4637,                 4.5425,                 1.7555,                0.28155,                0.14135,                0.07744,                0.02563,                 2.5012,                 3.1876,                 1.9635,                 2.2751,                 5.2583,                  1.856,              0.0010978,              0.0010978,              0.0010978
                     15,                 2.2738,                 2.8005,                 1.8942,                 2.3791,                 4.4992,                 1.7615,                0.27494,                0.09925,                0.08488,                0.03243,                 2.3829,                 3.0016,                 1.8774,                 2.2704,                 5.0206,                 1.8008,              0.0010967,              0.0010967,              0.0010967
                     16,                  2.229,                  2.601,                 1.8393,                 2.3207,                 4.0813,                 1.6817,                0.27756,                0.12516,                0.07899,                0.03204,                 2.1159,                 2.9998,                 1.8228,                 2.1393,                 4.7955,                 1.6522,              0.0010956,              0.0010956,              0.0010956
                     17,                 2.1852,                 2.5787,                 1.8255,                 2.3841,                 4.0203,                 1.6439,                0.34517,                0.07825,                0.09864,                0.04278,                 2.0701,                 2.8243,                  1.812,                 2.3046,                 4.6228,                 1.7147,              0.0010945,              0.0010945,              0.0010945
                     18,                 2.1737,                  2.523,                 1.8254,                 2.2574,                 3.8724,                 1.6173,                0.46042,                0.15285,                0.16552,                0.08046,                 2.1765,                 2.6798,                 1.8485,                 2.0939,                 4.0975,                 1.6714,              0.0010934,              0.0010934,              0.0010934
                     19,                 2.1012,                 2.3561,                 1.7414,                 2.2741,                 3.6036,                 1.5696,                0.39119,                0.23579,                0.19715,                0.08951,                 2.0311,                 2.5601,                  1.817,                 2.1035,                 4.0629,                 1.4918,              0.0010923,              0.0010923,              0.0010923
                     20,                 2.0827,                 2.4834,                  1.703,                  2.299,                 3.6542,                 1.5566,                0.46374,                0.20123,                0.26138,                 0.0973,                 2.0959,                 2.5131,                 1.8328,                  2.237,                 3.9843,                 1.6226,              0.0010912,              0.0010912,              0.0010912
                     21,                 2.1235,                 2.3537,                   1.76,                 2.3316,                  3.464,                 1.5811,                0.49672,                0.24919,                0.30251,                0.12632,                 2.2334,                 2.3937,                 1.8253,                 2.3064,                 3.6309,                 1.6229,              0.0010901,              0.0010901,              0.0010901
                     22,                 2.0388,                 2.1755,                 1.6516,                 2.2498,                 3.2718,                 1.4928,                0.52949,                0.34669,                0.28906,                 0.1082,                 2.0422,                 2.4258,                 1.6754,                 2.2223,                 3.6803,                 1.4779,               0.001089,               0.001089,               0.001089
                     23,                 2.0145,                 2.1419,                  1.707,                 2.1884,                 3.2141,                 1.5358,                0.37109,                0.25866,                0.24508,                0.10281,                 1.8884,                 2.5562,                 1.6592,                 2.0469,                 3.5604,                 1.4418,              0.0010879,              0.0010879,              0.0010879
                     24,                 2.0085,                 2.1821,                 1.7061,                 2.2022,                 3.2602,                 1.5476,                0.40173,                0.30193,                0.25333,                0.10633,                 2.0549,                 2.4192,                 1.6105,                 2.0102,                 3.4874,                 1.4833,              0.0010868,              0.0010868,              0.0010868
                     25,                 1.9671,                 2.1553,                 1.6381,                 2.1745,                 3.1326,                 1.5056,                0.39664,                0.36591,                0.31331,                0.13365,                 1.9414,                 2.1989,                 1.6205,                 1.7794,                  3.431,                 1.3731,              0.0010857,              0.0010857,              0.0010857
