               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13194,            0.022743,            0.054325,          0.00020092,             0.02967,          0.00033108,          4.8366e-05,               0.118,            0.016652,            0.050919,              0.0865,              0.0015,              0.0015
                   1,             0.10892,            0.021682,            0.046387,           0.0018929,             0.21696,           0.0029066,          0.00084694,            0.093543,            0.017467,            0.045437,            0.072097,           0.0030969,           0.0030969
                   2,            0.092322,            0.023687,            0.042731,           0.0025827,             0.45731,           0.0091147,           0.0030483,            0.087943,            0.016694,            0.040848,            0.057691,           0.0046907,           0.0046907
                   3,            0.083163,            0.022689,            0.040413,            0.009876,             0.25223,            0.014147,           0.0031443,             0.10617,            0.011107,            0.042488,            0.043281,           0.0062813,           0.0062813
                   4,            0.082046,            0.019347,            0.038413,             0.75796,            0.095196,            0.079576,            0.021763,            0.099084,            0.011609,            0.040802,            0.028869,           0.0078687,           0.0078687
                   5,            0.079091,            0.018701,            0.038054,             0.68397,            0.070677,            0.051324,             0.01121,            0.097089,             0.01064,            0.035027,            0.014453,            0.009453,            0.009453
                   6,            0.083901,            0.016848,             0.03648,             0.65058,            0.042105,            0.047508,            0.012506,            0.091373,            0.010759,            0.032066,           0.0099406,           0.0099406,           0.0099406
                   7,            0.078521,            0.017928,            0.034794,             0.80331,             0.10226,              0.2566,            0.087847,             0.07898,            0.011313,            0.030876,           0.0099406,           0.0099406,           0.0099406
                   8,            0.074249,            0.016962,             0.03328,             0.31876,             0.46873,             0.32425,             0.13691,            0.075348,            0.011093,            0.029699,           0.0099307,           0.0099307,           0.0099307
                   9,            0.069834,            0.015185,             0.03272,             0.34857,             0.43053,             0.37137,              0.1718,            0.077777,            0.010917,            0.027864,           0.0099208,           0.0099208,           0.0099208
                  10,            0.065976,            0.016243,            0.032183,             0.51253,             0.41582,             0.42193,             0.16935,            0.060754,            0.012323,            0.027557,           0.0099109,           0.0099109,           0.0099109
                  11,            0.060077,            0.016405,            0.031637,             0.30805,             0.58998,             0.43743,               0.183,             0.05961,            0.012283,            0.026778,            0.009901,            0.009901,            0.009901
                  12,            0.057587,            0.014659,            0.030314,             0.29134,             0.58314,             0.39655,             0.18909,            0.058875,            0.011527,            0.024658,           0.0098911,           0.0098911,           0.0098911
                  13,            0.055848,            0.015459,            0.030053,             0.33087,             0.60708,             0.33224,             0.13024,            0.062149,            0.011154,            0.023487,           0.0098812,           0.0098812,           0.0098812
                  14,            0.056381,            0.014214,             0.02884,             0.40674,             0.56617,             0.40648,             0.16737,            0.059234,             0.01093,            0.022913,           0.0098713,           0.0098713,           0.0098713
